epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1137,1.27212,1.90237,1.26738,0.01031,0.61538,0.36298,0.20462,1.07834,3.38899,1.39668,0.00062,0.00062,0.00062
2,39.2272,0.97367,1.1255,1.12427,0.93522,0.92949,0.97765,0.71171,0.90054,1.95214,1.1824,0.00123505,0.00123505,0.00123505
3,54.2436,0.94609,0.97245,1.11082,0.87489,0.94136,0.931,0.69856,0.94334,1.69425,1.3171,0.00182476,0.00182476,0.00182476
4,68.9268,0.91514,0.86458,1.08835,0.88781,0.82051,0.9236,0.70214,0.81028,1.72242,1.16344,0.0018812,0.0018812,0.0018812
5,83.4747,0.86518,0.7514,1.06859,0.99859,1,0.995,0.80693,0.74272,0.92822,1.11527,0.0018416,0.0018416,0.0018416
6,98.2081,0.86263,0.71124,1.07976,0.99296,0.99359,0.99481,0.7896,0.79788,0.81346,1.17679,0.001802,0.001802,0.001802
7,112.591,0.81758,0.64314,1.05928,0.99359,0.9931,0.99417,0.81828,0.71683,0.64361,1.12684,0.0017624,0.0017624,0.0017624
8,127.393,0.82933,0.61063,1.06802,0.97998,0.99359,0.99449,0.76634,0.82437,0.63689,1.21442,0.0017228,0.0017228,0.0017228
9,141.908,0.81484,0.58068,1.07652,1,0.99941,0.995,0.80384,0.72507,0.53356,1.10434,0.0016832,0.0016832,0.0016832
10,156.191,0.82355,0.55264,1.07909,0.99831,1,0.995,0.82572,0.67859,0.55163,1.10736,0.0016436,0.0016436,0.0016436
11,171.029,0.78926,0.54404,1.05697,0.99959,1,0.995,0.80754,0.70947,0.47826,1.10627,0.001604,0.001604,0.001604
12,185.332,0.82003,0.5235,1.07933,0.99912,0.99359,0.995,0.82691,0.65632,0.47323,1.08269,0.0015644,0.0015644,0.0015644
13,200.15,0.77519,0.49952,1.07075,0.99938,1,0.995,0.84989,0.62217,0.42423,1.07919,0.0015248,0.0015248,0.0015248
14,215.098,0.74408,0.4711,1.03436,0.99914,1,0.995,0.83055,0.65718,0.44334,1.08011,0.0014852,0.0014852,0.0014852
15,229.586,0.77234,0.4868,1.07351,0.99961,1,0.995,0.8495,0.63837,0.39071,1.05458,0.0014456,0.0014456,0.0014456
16,244.882,0.74325,0.46929,1.03262,0.99915,1,0.995,0.82746,0.64579,0.42607,1.07795,0.001406,0.001406,0.001406
17,259.34,0.75041,0.47071,1.04407,0.99297,0.99359,0.99397,0.82856,0.65195,0.39015,1.10273,0.0013664,0.0013664,0.0013664
18,273.69,0.73939,0.45366,1.03881,0.99952,1,0.995,0.85277,0.60348,0.37431,1.04256,0.0013268,0.0013268,0.0013268
19,288.459,0.74466,0.4485,1.04445,0.99921,1,0.995,0.86079,0.57794,0.35632,1.03725,0.0012872,0.0012872,0.0012872
20,303.334,0.71106,0.42376,1.02412,0.99961,1,0.995,0.86137,0.57524,0.33991,1.02256,0.0012476,0.0012476,0.0012476
21,318.971,0.74377,0.43394,1.04345,0.99944,1,0.995,0.86731,0.57806,0.35666,1.03288,0.001208,0.001208,0.001208
22,333.823,0.69729,0.4033,1.00572,0.99225,1,0.995,0.85954,0.60196,0.36631,1.04141,0.0011684,0.0011684,0.0011684
23,348.333,0.70371,0.42444,1.02126,1,0.99324,0.995,0.84766,0.61474,0.36623,1.03143,0.0011288,0.0011288,0.0011288
24,362.663,0.69641,0.395,1.02691,0.99948,1,0.995,0.86302,0.57145,0.33905,1.0287,0.0010892,0.0010892,0.0010892
25,377.105,0.69124,0.39075,1.00293,0.99952,1,0.995,0.87033,0.57685,0.32679,1.02308,0.0010496,0.0010496,0.0010496
26,391.984,0.68841,0.39947,1.01241,0.99905,1,0.995,0.87044,0.55514,0.32221,1.00311,0.00101,0.00101,0.00101
27,406.79,0.66535,0.38241,1.00766,0.99962,1,0.995,0.88449,0.54334,0.30638,0.99897,0.0009704,0.0009704,0.0009704
